ZIPCODE,OCCU_16_Year,OCCU_MBSAO,OCCU_SEV,OCCU_SA_OF,OCCU_NAT,OCCU_PRO,LESS_9TH,HIGH_GRAD,COLLE_NO_DEG,ACC_DEG,BACHE_DEG,GRAD_PRO,HIGH_GRAD_HIGHER,BACH_HIGH,INDUS_CIVIL,INDUS_AGRI,INDUS_CONST,INDUS_MANU,INDUS_WHOLE_SALE,INDUS_RETAIL,INDUS_TRANS,INDUS_INFO,INDUS_FIN,INDUS_PROF,INDUS_EDU,INDUS_ARTS,INDUS_OTHER,INDUS_PUBLIC_ADMIN,total_ev_count,OCC_HOUSING_UNITS,OWNER_OCC,RENTER_OCC,AVG_HHSZ_OWNER,AVG_HHSZ_RENTER,NO_VEHICLES,ONE_VEHICLE,TWO_VEHICLES,THREE_OM_VEHICLES,TOTAL_POPULTN,TP_MALE,TP_FEMALE,TP_SEX_RATIO,TP_5Y_UND,TP_5Y_9Y,TP_10Y_14Y,TP_15Y_19Y,TP_20Y_24Y,TP_25Y_34Y,TP_35Y_44Y,TP_45Y_54Y,TP_55Y_59Y,TP_60Y_64Y,TP_65Y_74Y,TP_75Y_84Y,TP_84Y_OVR,TP_MED_AGE,TP_18Y_UND,TP_16Y_OVR,TP_18Y_OVR,TP_21Y_OVR,TP_62Y_OVR,TP_65Y_OVR,TP_18YM_OVR,TP_18YF_OVR,TP_18Y_OVR_SXRATIO,TP_65Y_OVR_[0],TP_65YM_OVR,TP_65YF_OVR,TP_65Y_OVR_SXRATIO,RACE_TOT_1RACE,RACE_TOT_2+RACE,RACE_1WHITE_TOTAL,RACE_1BLACK_TOTAL,RACE_1AI_AN_TOTAL,RACE_1AI_AN_Cherokee,RACE_1AI_AN_Chippewa,RACE_1AI_AN_Navajo,RACE_1AI_AN_Sioux,RACE_1ASIAN_TOTAL,RACE_1ASIAN_AsianIndian,RACE_1ASIAN_Chinese,RACE_1ASIAN_Filipino,RACE_1ASIAN_Japanese,RACE_1ASIAN_Korean,RACE_1ASIAN_Vietnamese,RACE_1ASIAN_OtherAsian,RACE_1NHPI_TOTAL,RACE_1NHPI_Chamorro,RACE_1NHPI_NativeHawaiian,RACE_1NHPI_Samoan,RACE_1NHPI_Other,RACE_1OTHER_TOTAL,RACE_2+_WHITE-BLACK,RACE_2+_WHITE-AI_AN,RACE_2+_WHITE-ASIAN,RACE_2+_WHITE-OTHER,RACE_2+_BLACK-AI_AN,RACE_2+_BLACK-OTHER,ETHN_HISP-LAT_TOTAL,ETHN_HISP-LAT_Mexican,ETHN_HISP-LAT_PuertoRican,ETHN_HISP-LAT_Cuban,ETHN_HISP-LAT_Other,ETHN_NOT-HISP-LAT_TOTAL,ETHN_NOT-HISP-LAT_White,ETHN_NOT-HISP-LAT_Black,ETHN_NOT-HISP-LAT_AI_AN,ETHN_NOT-HISP-LAT_Asian,ETHN_NOT-HISP-LAT_NHPI,ETHN_NOT-HISP-LAT_1Other,ETHN_NOT-HISP-LAT_2+Other,LATINO AND RACE_1TWO OR MORE RACES_Two races including Some Other Race,"LATINO AND RACE_1TWO OR MORE RACES_Two races excluding Some Other Race, and three or more races"
ZCTA5 79014,1489,447,219,237,449,137,161,789,435,198,391,85,1898,476,1489,444,157,36,16,109,120,12,69,61,282,61,71,51,0,1287,933,354,2.52,2.25,48,349,509,381,3195,1813,1382,131.2,166,205,249,245,181,282,451,451,252,163,304,122,124,40.5,798,2446,2397,2315,625,550,1303,1094,119.1,550,240,310,77.4,2886,309,2471,60,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,11,60,229,0,0,1195,1125,0,0,70,2000,1892,10,16,0,0,0,82,22,60
ZCTA5 79015,11500,4585,2135,2441,1108,1231,336,2945,3219,1221,3586,2309,13280,5895,11500,419,1030,688,469,1208,557,186,671,1144,3178,879,446,625,13,7997,5551,2446,2.86,2.33,254,2162,3193,2388,22659,11127,11532,96.5,992,1421,1942,2148,2321,2674,2490,2814,1652,1302,1719,819,365,34.1,5198,17911,17461,15613,3514,2903,8747,8714,100.4,2903,1429,1474,96.9,20348,2311,18876,414,137,0,0,25,0,356,106,151,21,0,0,36,42,29,24,5,0,0,536,70,234,0,1710,0,0,4071,3331,0,23,717,18588,17246,414,88,356,29,52,403,80,323
ZCTA5 79016,185,0,96,83,0,6,0,0,0,0,0,0,0,0,185,0,0,0,0,31,0,0,0,0,64,85,5,0,0,0,0,0,INSUFF_DATA,INSUFF_DATA,0,0,0,0,600,371,229,162,0,0,0,416,184,0,0,0,0,0,0,0,0,19.5,0,600,600,102,0,0,371,229,162,0,0,0,0,564,36,498,54,0,0,0,0,0,5,0,0,0,0,0,5,0,7,0,7,0,0,0,9,0,0,27,0,0,223,216,7,0,0,377,314,47,0,5,7,0,4,0,4
ZCTA5 79018,170,75,21,22,40,12,7,60,89,46,85,22,302,107,170,38,7,10,7,11,3,0,1,4,50,23,10,6,0,157,92,65,2.24,2.51,17,34,72,34,399,156,243,64.2,25,19,23,5,7,94,26,47,26,32,16,63,16,45.2,72,330,327,324,112,95,112,215,52.1,95,23,72,31.9,388,11,378,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,50,45,0,0,5,349,333,0,0,10,0,0,6,0,6
ZCTA5 79019,763,327,141,88,126,81,53,432,316,121,209,95,1173,304,763,78,67,73,2,81,53,4,27,37,229,41,27,44,0,682,601,81,2.48,3.06,0,142,311,229,1800,814,986,82.6,95,86,164,84,104,144,222,158,61,158,283,186,55,45.1,385,1445,1415,1355,599,524,670,745,89.9,524,240,284,84.5,1708,92,1636,16,21,4,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,33,26,1,0,65,0,0,180,129,0,0,51,1620,1554,16,21,2,0,0,27,0,27
ZCTA5 79021,36,10,7,12,7,0,3,11,29,0,6,5,51,11,36,17,0,0,0,0,0,2,0,1,15,0,1,0,0,25,14,11,2.36,3.55,0,0,16,9,72,36,36,100,8,0,0,0,8,0,12,4,7,8,22,3,0,57.3,8,64,64,62,33,25,28,36,77.8,25,14,11,127.3,72,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,57,57,0,0,0,0,0,0,0,0
ZCTA5 79022,4791,1339,603,1009,516,1324,1011,2838,1363,310,945,391,5847,1336,4791,953,377,533,92,552,579,6,174,137,651,493,36,208,0,3194,2460,734,2.94,2.63,96,962,1184,952,10672,5995,4677,128.2,828,1070,742,470,311,1661,1912,1255,917,286,640,501,79,36.2,2956,7893,7716,7536,1336,1220,4693,3023,155.2,1220,589,631,93.3,9084,1588,7571,401,191,24,0,0,0,14,12,0,2,0,0,0,0,0,0,0,0,0,907,96,278,25,1124,12,0,4463,4326,6,0,131,6209,5235,401,46,14,0,107,406,112,294
ZCTA5 79024,185,59,27,39,30,30,4,99,43,7,38,17,204,55,185,15,9,17,13,12,10,8,8,14,54,0,15,10,0,145,90,55,2.42,2.2,7,28,62,48,339,157,182,86.3,13,15,38,17,33,17,31,57,26,25,49,14,4,46.4,81,271,258,256,73,67,120,138,87,67,30,37,81.1,287,52,275,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,34,4,14,0,0,54,34,0,0,20,285,242,0,6,0,0,0,37,0,37
ZCTA5 79025,8,0,0,0,0,8,0,8,0,0,0,0,8,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,5,0,2.6,INSUFF_DATA,0,0,0,5,13,5,8,62.5,0,0,0,0,0,0,0,0,0,0,8,5,0,CANNOT_DETERMINE,0,13,13,13,13,13,5,8,62.5,13,5,8,62.5,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0
ZCTA5 79027,2379,887,543,390,267,292,431,968,458,123,515,178,2242,693,2379,255,139,247,101,477,65,0,74,328,485,88,20,100,0,1505,929,576,3.12,3.03,49,581,432,443,4720,2393,2327,102.8,314,382,369,502,294,553,448,516,237,304,527,260,14,34.3,1294,3519,3426,3126,975,801,1693,1733,97.7,801,382,419,91.2,3566,1154,3049,54,25,0,0,0,0,55,0,0,55,0,0,0,0,0,0,0,0,0,383,160,31,0,963,0,0,3313,2834,53,0,426,1407,1259,54,25,55,0,0,14,14,0
