ZIPCODE,OCCU_16_Year,OCCU_MBSAO,OCCU_SEV,OCCU_SA_OF,OCCU_NAT,OCCU_PRO,LESS_9TH,HIGH_GRAD,COLLE_NO_DEG,ACC_DEG,BACHE_DEG,GRAD_PRO,HIGH_GRAD_HIGHER,BACH_HIGH,INDUS_CIVIL,INDUS_AGRI,INDUS_CONST,INDUS_MANU,INDUS_WHOLE_SALE,INDUS_RETAIL,INDUS_TRANS,INDUS_INFO,INDUS_FIN,INDUS_PROF,INDUS_EDU,INDUS_ARTS,INDUS_OTHER,INDUS_PUBLIC_ADMIN,total_ev_count,OCC_HOUSING_UNITS,OWNER_OCC,RENTER_OCC,AVG_HHSZ_OWNER,AVG_HHSZ_RENTER,NO_VEHICLES,ONE_VEHICLE,TWO_VEHICLES,THREE_OM_VEHICLES,TOTAL_POPULTN,TP_MALE,TP_FEMALE,TP_SEX_RATIO,TP_5Y_UND,TP_5Y_9Y,TP_10Y_14Y,TP_15Y_19Y,TP_20Y_24Y,TP_25Y_34Y,TP_35Y_44Y,TP_45Y_54Y,TP_55Y_59Y,TP_60Y_64Y,TP_65Y_74Y,TP_75Y_84Y,TP_84Y_OVR,TP_MED_AGE,TP_18Y_UND,TP_16Y_OVR,TP_18Y_OVR,TP_21Y_OVR,TP_62Y_OVR,TP_65Y_OVR,TP_18YM_OVR,TP_18YF_OVR,TP_18Y_OVR_SXRATIO,TP_65Y_OVR_[0],TP_65YM_OVR,TP_65YF_OVR,TP_65Y_OVR_SXRATIO,RACE_TOT_1RACE,RACE_TOT_2+RACE,RACE_1WHITE_TOTAL,RACE_1BLACK_TOTAL,RACE_1AI_AN_TOTAL,RACE_1AI_AN_Cherokee,RACE_1AI_AN_Chippewa,RACE_1AI_AN_Navajo,RACE_1AI_AN_Sioux,RACE_1ASIAN_TOTAL,RACE_1ASIAN_AsianIndian,RACE_1ASIAN_Chinese,RACE_1ASIAN_Filipino,RACE_1ASIAN_Japanese,RACE_1ASIAN_Korean,RACE_1ASIAN_Vietnamese,RACE_1ASIAN_OtherAsian,RACE_1NHPI_TOTAL,RACE_1NHPI_Chamorro,RACE_1NHPI_NativeHawaiian,RACE_1NHPI_Samoan,RACE_1NHPI_Other,RACE_1OTHER_TOTAL,RACE_2+_WHITE-BLACK,RACE_2+_WHITE-AI_AN,RACE_2+_WHITE-ASIAN,RACE_2+_WHITE-OTHER,RACE_2+_BLACK-AI_AN,RACE_2+_BLACK-OTHER,ETHN_HISP-LAT_TOTAL,ETHN_HISP-LAT_Mexican,ETHN_HISP-LAT_PuertoRican,ETHN_HISP-LAT_Cuban,ETHN_HISP-LAT_Other,ETHN_NOT-HISP-LAT_TOTAL,ETHN_NOT-HISP-LAT_White,ETHN_NOT-HISP-LAT_Black,ETHN_NOT-HISP-LAT_AI_AN,ETHN_NOT-HISP-LAT_Asian,ETHN_NOT-HISP-LAT_NHPI,ETHN_NOT-HISP-LAT_1Other,ETHN_NOT-HISP-LAT_2+Other,LATINO AND RACE_1TWO OR MORE RACES_Two races including Some Other Race,"LATINO AND RACE_1TWO OR MORE RACES_Two races excluding Some Other Race, and three or more races"
ZCTA5 75840,2613,633,742,447,347,444,280,1413,807,610,551,264,3645,815,2613,117,151,182,2,315,261,12,40,338,491,389,156,159,2,2510,1674,836,2.72,1.99,69,1106,812,523,6428,3156,3272,96.5,297,443,514,501,336,791,886,782,154,389,649,523,163,39.7,1692,5023,4736,4604,1622,1335,2288,2448,93.5,1335,547,788,69.4,5875,553,5013,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,6,9,0,524,3,0,876,770,0,5,101,5552,4623,757,0,0,0,31,141,118,23
ZCTA5 75844,2182,631,425,551,163,412,172,1298,907,307,462,260,3234,722,2182,84,166,230,12,195,163,71,71,39,649,172,142,188,0,1874,1401,473,2.66,2.53,61,448,878,487,4922,2414,2508,96.3,349,207,267,305,205,700,461,442,304,366,874,284,158,43.4,1017,4032,3905,3739,1559,1316,1784,2121,84.1,1316,629,687,91.6,4794,128,3737,964,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,51,0,66,0,0,382,364,3,5,10,4540,3504,867,54,0,0,11,104,47,57
ZCTA5 75845,930,380,151,179,93,127,168,532,427,163,229,67,1418,296,930,67,42,76,7,90,106,4,117,85,150,31,5,150,0,1003,843,160,2.27,1.73,136,309,272,286,2262,1144,1118,102.3,76,92,98,135,39,348,261,191,209,147,390,156,120,47.9,331,1978,1931,1861,765,666,915,1016,90.1,666,310,356,87.1,2229,33,2090,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,10,3,0,202,193,1,0,8,2060,1895,139,0,0,0,0,26,3,23
ZCTA5 75846,911,243,140,264,148,116,76,576,353,187,248,110,1474,358,911,130,113,56,26,92,23,0,76,164,100,12,80,39,1,1095,882,213,2.1,3.48,20,279,326,470,2609,1270,1339,94.8,134,253,204,98,125,234,488,173,60,173,437,213,17,38.7,643,1985,1966,1920,782,667,1023,943,108.5,667,371,296,125.3,2418,191,2328,61,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,11,0,168,0,0,598,527,0,0,71,2011,1920,45,5,0,0,0,41,23,18
ZCTA5 75847,552,290,68,34,67,93,28,450,208,97,131,82,968,213,552,24,39,77,20,25,49,0,14,0,150,84,35,35,0,553,408,145,2.71,3.66,38,159,228,128,1634,770,864,89.1,143,95,165,74,43,201,196,133,110,100,202,133,39,38.8,477,1193,1157,1157,432,374,512,645,79.4,374,105,269,39,1552,82,1410,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,11,0,25,0,0,7,7,0,0,0,1627,1403,142,0,0,0,0,82,25,57
ZCTA5 75848,51,11,11,5,9,15,0,29,11,22,7,0,69,7,51,1,8,5,2,0,12,0,0,4,12,3,3,1,0,30,16,14,4.63,1.86,0,14,9,7,100,65,35,185.7,7,0,0,7,17,23,0,26,3,11,6,0,0,30.5,7,93,93,86,7,6,60,33,181.8,6,3,3,100,93,7,82,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,100,82,11,0,0,0,0,7,0,7
ZCTA5 75849,48,17,12,11,8,0,1,49,0,15,13,6,83,19,48,0,0,8,0,0,0,0,9,3,17,3,1,7,0,53,35,18,2.09,2.56,0,16,26,11,125,83,42,197.6,8,0,0,11,5,35,7,7,4,12,19,7,10,39.5,19,117,106,106,42,36,64,42,152.4,36,16,20,80,96,29,95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19,0,0,20,19,0,0,1,105,94,1,0,0,0,0,10,0,10
ZCTA5 75850,494,189,60,31,147,67,174,414,238,2,102,12,768,114,494,169,31,44,0,9,53,4,16,15,63,28,12,50,1,472,417,55,2.97,3.76,0,28,238,206,1447,825,622,132.6,68,97,67,120,2,151,87,136,45,100,315,202,57,54.7,352,1188,1095,1093,603,574,558,537,103.9,574,248,326,76.1,1447,0,1202,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0,382,382,0,0,0,1065,1064,0,0,1,0,0,0,0,0
ZCTA5 75851,976,277,229,244,61,165,265,1621,817,248,174,103,2963,277,976,50,38,78,9,82,155,8,30,50,258,52,46,120,0,774,669,105,2.47,2.3,12,176,406,180,4513,3490,1023,341.2,63,149,195,164,113,650,1126,981,397,224,260,179,12,43.1,485,4106,4028,3942,563,451,3221,807,399.1,451,184,267,68.9,3987,526,2543,1144,51,0,0,0,0,7,0,0,0,0,0,0,7,10,10,0,0,0,232,26,103,6,332,11,17,814,616,68,0,130,3699,2288,1131,3,7,10,0,260,83,177
ZCTA5 75852,379,93,86,89,95,16,103,942,526,168,250,43,1929,293,379,79,38,4,0,47,9,4,13,22,65,25,0,73,0,473,406,67,2.3,2.55,30,175,118,150,3173,2648,525,504.4,50,78,100,40,337,971,894,135,196,81,192,79,20,35.1,242,2943,2931,2875,346,291,2507,424,591.3,291,176,115,153,2853,320,1459,1034,6,0,0,0,6,13,0,0,0,0,0,0,13,0,0,0,0,0,341,3,145,0,90,51,16,797,536,6,0,255,2376,1108,1034,0,13,0,0,221,13,208
ZCTA5 75853,421,209,42,98,32,40,18,308,116,77,145,57,703,202,421,28,51,105,0,0,16,0,0,89,13,19,46,54,1,427,367,60,2.15,4.23,0,100,242,85,1042,441,601,73.4,145,98,0,0,78,222,68,30,38,32,247,45,39,34.3,243,799,799,763,354,331,359,440,81.6,331,162,169,95.9,1019,23,823,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,7,0,0,106,106,0,0,0,936,817,96,0,0,0,0,23,7,16
ZCTA5 75855,926,389,124,165,166,82,64,946,454,150,271,89,1910,360,926,37,164,65,18,98,61,19,29,97,250,53,14,21,2,1172,982,190,2.28,2.12,49,380,499,244,2657,1379,1278,107.9,101,176,179,53,86,163,190,300,159,321,658,233,38,57.7,489,2184,2168,2148,1118,929,1105,1063,104,929,482,447,107.8,2547,110,2100,372,6,4,0,0,0,39,0,0,39,0,0,0,0,0,0,0,0,0,30,19,6,29,24,0,0,88,83,0,0,5,2569,2071,372,6,8,0,6,106,20,86
ZCTA5 75856,139,75,0,25,30,9,0,20,13,0,61,0,94,61,139,65,0,0,0,35,0,0,0,25,14,0,0,0,0,85,35,50,3.86,1.52,0,20,30,35,211,124,87,142.5,0,0,30,31,56,0,39,35,20,0,0,0,0,22.6,52,181,159,150,0,0,94,65,144.6,0,0,0,0,211,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,211,0,0,0,0,0,0,0,0
ZCTA5 75858,11,0,0,0,0,11,8,29,11,0,0,0,40,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,30,30,0,2,INSUFF_DATA,0,8,22,0,60,36,24,150,0,0,0,12,0,0,0,16,0,0,13,19,0,67.2,12,48,48,48,32,32,24,24,100,32,13,19,68.4,49,11,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,60,49,0,0,0,0,0,11,0,11
ZCTA5 75859,1221,392,239,117,155,318,58,680,352,166,423,186,1807,609,1221,81,150,160,31,97,122,24,27,143,210,24,26,126,0,1099,883,216,2.27,2.8,28,305,563,203,2607,1466,1141,128.5,56,132,86,139,97,205,296,220,260,304,515,179,118,57.2,320,2308,2287,2145,1078,812,1326,961,138,812,495,317,156.2,2425,182,2257,148,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,37,0,81,0,0,302,290,0,0,12,2305,2039,148,17,0,0,0,101,0,101
ZCTA5 75860,1955,516,252,495,329,363,257,1689,1000,395,385,140,3609,525,1955,173,173,245,38,199,124,0,116,129,559,33,116,50,1,1557,1337,220,3.3,3.33,69,382,496,610,6305,3622,2683,135,561,508,309,329,284,1004,873,741,472,426,450,191,157,37.7,1601,4832,4704,4442,1134,798,2801,1903,147.2,798,314,484,64.9,5128,1177,3639,1046,24,23,0,0,0,23,0,0,0,0,12,0,11,0,0,0,0,0,396,51,50,0,1050,5,6,1959,1660,34,20,245,4346,3058,1046,24,11,0,0,207,94,113
ZCTA5 75861,858,176,213,112,278,79,72,459,328,90,137,12,1026,149,858,17,158,98,0,31,49,0,50,73,51,32,71,228,0,694,493,201,2.08,2.05,37,87,334,236,1438,757,681,111.2,23,57,54,97,61,121,386,199,135,81,127,89,8,44.1,231,1237,1207,1188,260,224,617,590,104.6,224,124,100,124,1104,334,997,82,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,258,0,24,0,0,149,149,0,0,0,1289,900,82,0,25,0,0,282,24,258
ZCTA5 75862,3436,1096,775,641,429,495,366,2970,1928,460,785,279,6422,1064,3436,84,500,235,73,396,255,17,141,167,694,316,109,449,0,4336,3205,1131,2.34,2.15,430,1543,1696,667,10017,4974,5043,98.6,439,459,666,600,566,746,824,1304,866,842,1540,829,336,51.7,1971,8305,8046,7715,3126,2705,3958,4088,96.8,2705,1345,1360,98.9,9359,658,7794,904,22,0,0,0,0,17,0,4,0,0,0,0,13,0,0,0,0,0,622,204,129,21,304,0,0,1259,1061,67,0,131,8758,7481,904,0,17,0,6,350,5,345
ZCTA5 75865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFF_DATA,INSUFF_DATA,0,0,0,0,0,0,0,UNDEFINED,0,0,0,0,0,0,0,0,0,0,0,0,0,CANNOT_DETERMINE,0,0,0,0,0,0,0,0,UNDEFINED,0,0,0,UNDEFINED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 75884,0,0,0,0,0,0,293,1334,748,173,55,40,2350,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFF_DATA,INSUFF_DATA,0,0,0,0,3535,3535,0,UNDEFINED,0,0,0,0,201,846,1161,840,274,160,53,0,0,41,0,3535,3535,3516,114,53,3535,0,UNDEFINED,53,53,0,UNDEFINED,3111,424,1758,1225,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,18,6,0,368,6,9,1148,1097,7,8,36,2387,1098,1219,14,0,0,0,56,26,30
ZCTA5 75886,0,0,0,0,0,0,251,1205,565,156,71,8,2005,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INSUFF_DATA,INSUFF_DATA,0,0,0,0,3005,3005,0,UNDEFINED,0,0,0,0,130,603,992,767,250,171,92,0,0,43,0,3005,3005,2990,179,92,3005,0,UNDEFINED,92,92,0,UNDEFINED,2372,633,1089,1200,8,0,0,0,8,7,0,0,0,0,0,7,0,0,0,0,0,0,68,8,58,0,514,21,8,858,753,10,8,87,2147,822,1200,0,7,0,0,118,15,103
ZCTA5 75901,12542,4005,2179,2590,1405,2363,1776,5477,3782,1651,2468,1386,14764,3854,12542,431,1309,1822,274,1488,625,130,674,898,2862,985,567,477,5,10040,6519,3521,2.91,2.38,442,3273,3673,2652,28257,13710,14547,94.2,1480,2320,2222,2020,2209,3985,3289,3106,1467,2006,2402,1379,372,34.3,7421,21688,20836,19770,5331,4153,9957,10879,91.5,4153,1690,2463,68.6,23691,4566,18559,3019,197,13,0,0,0,573,105,127,199,0,11,91,40,0,0,0,0,0,1343,244,358,76,3535,5,9,9696,8301,198,0,1197,18561,14098,3019,33,554,0,111,746,15,731
ZCTA5 75903,68,0,47,21,0,0,12,0,0,0,0,0,0,0,68,0,0,0,0,21,0,0,22,13,0,12,0,0,0,85,0,85,INSUFF_DATA,1.6,0,72,0,13,136,52,84,61.9,0,0,0,0,39,13,0,12,43,0,29,0,0,56.2,0,136,136,136,29,29,52,84,61.9,29,0,29,0,136,0,54,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,111,29,82,0,0,0,0,0,0,0
ZCTA5 75904,15198,5278,3165,2445,1947,2363,1071,7226,5675,2141,2561,1890,19493,4451,15198,473,1279,1763,398,1504,755,55,451,1428,3930,1309,771,1082,4,13028,7625,5403,2.7,2.42,970,4960,4585,2513,34191,16452,17739,92.7,2371,1771,3211,2673,1852,4518,4371,4048,2231,2063,2776,1621,685,37,9006,26204,25185,23637,6223,5082,12063,13122,91.9,5082,2068,3014,68.6,30873,3318,23603,5756,556,0,0,212,0,160,0,0,43,63,10,44,0,0,0,0,0,0,798,305,1208,15,1617,0,0,6015,5615,9,1,390,28176,20347,5756,325,160,0,50,1538,35,1503
ZCTA5 75925,1353,283,360,234,281,195,247,692,564,197,186,77,1716,263,1353,147,128,110,7,114,129,0,65,74,396,46,30,107,0,1312,780,532,2.66,2.08,109,390,495,318,3217,1659,1558,106.5,157,212,195,254,257,432,264,359,171,231,411,220,54,37.9,757,2564,2460,2364,775,685,1269,1191,106.5,685,315,370,85.1,2972,245,2079,682,150,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,19,33,0,138,0,31,707,629,0,0,78,2510,1708,682,56,0,0,12,52,0,52
ZCTA5 75926,528,196,57,117,80,78,19,357,248,27,78,34,744,112,528,78,33,43,65,35,32,0,10,31,146,31,17,7,0,541,455,86,2.46,2.13,18,148,291,84,1301,623,678,91.9,117,134,53,65,102,73,176,113,92,130,128,102,16,41.5,347,995,954,921,320,246,462,492,93.9,246,107,139,77,1204,97,1083,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,31,0,0,130,120,0,0,10,1171,1007,121,0,0,0,0,43,6,37
ZCTA5 75928,182,17,71,12,40,42,7,481,218,33,0,0,732,0,182,28,57,0,0,12,8,0,0,10,60,0,7,0,0,431,364,67,2.45,1.42,40,175,161,55,987,521,466,111.8,8,13,12,68,55,42,75,249,121,55,152,137,0,54.1,71,954,916,878,297,289,477,439,108.7,289,153,136,112.5,973,14,297,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,987,297,676,0,0,0,0,14,0,14
ZCTA5 75929,448,99,18,209,34,88,16,318,483,88,50,25,964,75,448,13,8,43,0,74,59,42,48,33,113,5,3,7,0,511,428,83,2.57,3.13,8,186,231,86,1358,677,681,99.4,64,12,20,68,161,45,52,203,83,127,352,137,34,58,164,1256,1194,1154,594,523,558,636,87.7,523,269,254,105.9,1341,17,1341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1358,1341,0,0,0,0,0,17,0,17
ZCTA5 75930,570,105,87,36,142,200,29,747,195,72,127,30,1171,157,570,41,167,28,0,37,85,11,7,22,113,8,45,6,0,740,641,99,2.78,1.93,5,172,414,149,1972,1050,922,113.9,150,88,178,83,51,244,187,248,185,131,312,92,23,45.2,482,1546,1490,1473,511,427,830,660,125.8,427,203,224,90.6,1957,15,1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,0,0,0,1900,1885,0,0,0,0,0,15,0,15
ZCTA5 75931,922,317,255,150,189,11,60,665,372,61,265,102,1465,367,922,17,93,87,2,70,26,0,85,42,275,121,84,20,0,959,795,164,1.91,3.28,64,302,390,203,2053,965,1088,88.7,73,64,145,38,107,103,146,366,205,191,334,192,89,54.7,295,1771,1758,1733,753,615,781,977,79.9,615,278,337,82.5,1947,106,1900,37,2,1,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,25,13,68,0,0,79,79,0,0,0,1974,1889,37,2,8,0,0,38,0,38
ZCTA5 75932,537,39,45,131,150,172,46,423,312,43,34,22,834,56,537,29,46,97,21,30,34,18,39,93,60,13,48,9,0,569,512,57,2.49,2.07,47,196,211,115,1393,719,674,106.7,22,77,58,54,104,93,118,189,106,233,205,78,56,50.9,173,1232,1220,1167,473,339,637,583,109.3,339,133,206,64.6,1363,30,1162,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,30,0,0,14,9,5,0,0,1379,1157,173,0,0,0,28,21,21,0
ZCTA5 75933,547,96,136,113,88,114,31,445,169,29,97,22,762,119,547,33,149,15,15,98,33,0,19,13,142,24,0,6,0,518,451,67,2.47,3.01,90,123,201,104,1316,678,638,106.3,84,91,121,97,31,158,140,162,90,67,168,79,28,39.7,336,985,980,923,322,275,511,469,109,275,150,125,120,1316,0,1089,135,4,0,0,0,0,83,0,0,7,0,0,0,76,0,0,0,0,0,5,0,0,0,0,0,0,5,5,0,0,0,1311,1089,135,4,83,0,0,0,0,0
ZCTA5 75934,61,0,0,17,0,44,0,5,50,0,28,0,83,28,61,0,0,0,0,0,0,0,17,0,44,0,0,0,0,45,45,0,3.16,INSUFF_DATA,0,0,45,0,142,32,110,29.1,15,0,27,7,10,0,50,0,0,0,28,5,0,39.5,49,100,93,83,33,33,32,61,52.5,33,5,28,17.9,142,0,74,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,74,0,0,0,68,0,68,0,0,0,0,0,0,0
ZCTA5 75935,5234,1500,921,1104,556,1153,724,3102,1715,429,704,353,6303,1057,5234,414,494,619,27,723,421,37,169,317,1171,652,107,83,1,4575,3420,1155,2.43,3.1,161,1429,2067,918,12073,6008,6065,99.1,908,731,1093,771,708,1335,1465,1328,559,934,1456,659,126,39.3,3240,9238,8833,8494,2848,2241,4238,4595,92.2,2241,986,1255,78.6,11678,395,7834,1955,289,63,0,0,0,92,0,0,0,20,9,11,52,163,0,163,0,0,1345,0,93,0,208,34,59,2825,2709,59,0,57,9248,6814,1955,65,92,163,19,140,12,128
ZCTA5 75936,397,139,107,54,58,39,34,355,134,59,58,40,646,98,397,38,32,26,7,22,27,0,40,37,111,9,6,42,0,326,287,39,2.87,3.28,9,127,111,79,951,518,433,119.6,30,38,61,62,15,124,86,127,116,71,127,55,39,48,176,816,775,751,256,221,431,344,125.3,221,106,115,92.2,911,40,796,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,38,0,2,0,0,39,37,0,0,2,912,793,103,0,0,0,5,11,0,11
ZCTA5 75937,565,217,86,51,91,120,35,327,226,57,150,26,786,176,565,19,60,113,0,31,45,0,20,27,210,11,17,12,2,465,394,71,2.69,3.45,2,152,201,110,1303,647,656,98.6,55,98,83,100,23,169,239,138,86,99,135,58,20,40.8,283,1052,1020,954,261,213,521,499,104.4,213,66,147,44.9,1272,31,1008,217,7,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,35,13,6,0,2,0,0,89,89,0,0,0,1214,968,217,5,5,0,0,19,0,19
ZCTA5 75938,884,335,87,206,117,139,42,633,444,80,210,62,1429,272,884,108,42,72,44,103,64,0,64,11,183,54,23,116,2,966,820,146,2.28,2.99,81,258,422,205,2306,1240,1066,116.3,181,169,105,141,109,299,114,298,119,198,419,119,35,45.6,561,1822,1745,1710,710,573,875,870,100.6,573,259,314,82.5,2261,45,2160,18,3,3,0,0,0,46,0,0,3,0,0,0,43,0,0,0,0,0,34,6,13,1,25,0,0,82,58,15,0,9,2224,2122,18,3,31,0,30,20,0,20
ZCTA5 75939,2145,293,533,589,368,362,312,1675,609,216,253,129,2882,382,2145,118,230,238,9,323,66,0,58,181,581,56,98,187,0,1701,1160,541,3.36,2.69,85,509,620,487,5415,2808,2607,107.7,220,234,411,339,567,436,702,651,517,550,626,95,67,42.4,1044,4531,4371,4133,1198,788,2220,2151,103.2,788,397,391,101.5,4611,804,3512,722,6,0,0,0,0,64,0,0,0,0,58,0,6,0,0,0,0,0,307,105,74,0,449,174,0,1428,1308,16,0,104,3987,2866,722,6,58,0,0,335,0,335
ZCTA5 75941,3295,1083,827,791,299,295,666,1620,1430,295,681,272,4298,953,3295,37,139,550,105,218,149,51,68,348,1001,302,154,173,0,2574,1972,602,2.9,3.12,181,804,998,591,8666,4602,4064,113.2,765,538,677,625,534,822,903,1375,606,464,1028,235,94,40,2319,6551,6347,5979,1614,1357,3305,3042,108.6,1357,824,533,154.6,6886,1780,5002,1600,12,0,0,0,0,66,0,0,17,0,4,45,0,0,0,0,0,0,206,35,67,28,1637,0,0,3381,3110,27,14,230,5285,3492,1600,0,66,0,0,127,1,126
ZCTA5 75942,0,0,0,0,0,0,0,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,INSUFF_DATA,3.86,42,0,0,0,162,60,102,58.8,0,0,0,0,0,0,120,0,42,0,0,0,0,42.4,0,162,162,162,0,0,60,102,58.8,0,0,0,0,162,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,162,0,0,0,0,0,0,0,0
ZCTA5 75943,598,263,85,96,65,89,0,192,223,51,204,163,833,367,598,80,42,15,28,17,10,14,27,0,196,20,27,122,0,520,447,73,2.6,2.86,26,56,225,213,1372,726,646,112.4,112,85,116,72,118,96,174,112,132,119,129,91,16,42.1,353,1019,1019,954,321,236,464,555,83.6,236,139,97,143.3,1352,20,1226,101,2,0,0,0,0,23,0,0,13,0,0,10,0,0,0,0,0,0,0,0,0,15,5,0,0,63,42,0,0,21,1309,1178,101,2,23,0,0,5,5,0
ZCTA5 75944,213,87,31,39,22,34,22,227,187,63,67,56,600,123,213,21,23,17,6,24,6,0,7,28,63,10,3,5,0,444,421,23,1.95,1.26,5,183,186,70,852,393,459,85.6,33,49,18,49,7,41,85,89,83,94,176,119,9,58.3,149,733,703,703,369,304,337,366,92.1,304,136,168,81,852,0,821,13,15,0,0,0,7,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,837,806,13,15,3,0,0,0,0,0
ZCTA5 75946,1647,648,132,253,314,300,118,861,881,111,456,152,2461,608,1647,189,215,229,124,161,56,4,70,32,443,42,13,69,0,1598,1193,405,2.32,2.66,155,309,828,306,3943,1948,1995,97.6,209,390,157,244,107,445,540,506,159,497,355,273,61,42,905,3155,3038,2914,894,689,1529,1509,101.3,689,349,340,102.6,3808,135,3224,549,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,42,26,4,45,0,0,150,70,0,0,80,3793,3148,549,3,0,0,0,93,8,85
ZCTA5 75948,1640,394,390,480,93,283,210,1420,1134,435,444,498,3931,942,1640,47,42,136,82,237,80,27,26,81,506,86,108,182,0,2598,2175,423,1.97,2.19,63,916,1087,532,5307,2786,2521,110.5,211,181,124,172,187,457,430,567,496,582,1008,694,198,58.1,603,4767,4704,4607,2231,1900,2415,2289,105.5,1900,1027,873,117.6,5076,231,4434,253,83,4,0,0,0,165,0,0,35,0,0,130,0,38,0,0,38,0,103,53,67,38,34,0,0,495,427,0,0,68,4812,4113,253,15,130,38,100,163,4,159
ZCTA5 75949,3330,745,607,1079,401,498,257,2462,1681,406,539,160,5248,699,3330,197,118,205,50,563,295,13,132,236,1005,244,166,106,0,3352,2265,1087,2.43,2.65,110,1229,1575,438,8472,4153,4319,96.2,468,632,503,553,436,864,1291,700,588,304,1276,656,201,42.1,1838,6743,6634,6273,2306,2133,3158,3476,90.9,2133,928,1205,77,8079,393,7920,152,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,67,233,0,49,9,0,166,125,41,0,0,8306,7804,152,0,7,0,0,343,8,335
ZCTA5 75951,5517,1683,1349,918,776,791,192,5051,2358,607,1043,375,9434,1418,5517,332,531,401,71,597,346,0,192,181,1680,503,313,370,3,5899,4416,1483,2.53,2.13,441,2143,2078,1237,15148,7738,7410,104.4,838,625,1374,1215,642,1776,1654,1777,1251,907,1686,1118,285,41.9,3708,12099,11440,10981,3767,3089,5825,5615,103.7,3089,1413,1676,84.3,14260,888,9529,4085,0,0,0,0,0,103,0,0,75,0,28,0,0,8,0,8,0,0,535,380,136,48,287,4,0,998,919,2,0,77,14150,9293,4085,0,103,8,0,661,107,554
ZCTA5 75954,1181,321,244,191,159,266,123,683,520,81,189,81,1554,270,1181,243,72,30,22,155,89,0,14,40,416,12,50,38,0,1127,817,310,2.35,2.58,144,354,472,157,2719,1508,1211,124.5,160,144,235,108,140,336,248,438,305,134,279,147,45,44.8,589,2165,2130,2025,572,471,1141,989,115.4,471,278,193,144,2532,187,2384,112,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,32,11,75,0,101,0,0,572,552,0,0,20,2147,1944,112,0,4,0,1,86,0,86
